Japanese;English;French;German;
"すばらしいっ！

やはり絵にすると
一層、美しくなりますね
あのお方も、きっと
喜んでくれることでしょう";"Ah!


As I suspected, you're even lovelier
as a painting. I think that Her Grace
will be most pleased.";"
	　　Magnifique !

Comme je l'avais prévu, votre
transformation n'a fait qu'accentuer
votre beauté !
Sa Magnificence sera ravie.";"
	Wundervoll!

Als Gemälde seid Ihr tatsächlich
noch bezaubernder!

Auch SIE wird sicher sehr zufrieden
sein...";
"ところでアナタ……
どこから入って来たんです？
まさか、その剣で
私の邪魔をするつもりですか？";"Oh? What have we here? Another
worm comes wriggling in?";"Mais dis donc, toi !
Tu viens d'où, comme ça ?

Ne me dis pas que tu vas essayer
de m'arrêter avec cette épée ?";"Und wen haben wir da?
Wie bist du denn hier
hereingekommen?
Sag bloß, du willst dich
mir in den Weg stellen...
mit diesem Messerchen!";
"その神父の言うとおりです
アナタ如きに何ができるというのです";"I believe this worm here wishes to
tangle with me. Come on then.
Wriggle, wriggle, little worm!";"Tu n'as pas entendu le monsieur ?
Qu'est-ce qu'un avorton comme
toi peut bien espérer contre moi ?";"Du solltest auf den Priester hören.
Was glaubst du, kannst du gegen
mich ausrichten?";
"……[PlayerName]！
ど、どうしてここに……";"H-how did you get in the Sanctuary,
[PlayerName]?

Run, child!";"... [PlayerName] !
Que... Que fais-tu ici ?!";"...[PlayerName]!
W-warum bist du hier?";
"よ、よせ……危険だ！
兵士長もアイツに……";"Wh-why do you just stand there?
RUN! Not even the captain stood a
chance against him!";"Fais attention, cet homme est
dangereux ! Le capitaine de la garde
lui-même n'a rien pu faire contre lui...";"Dieser Mann ist... gefährlich!
Der Hauptmann... Er hat ihn...!";
"[PlayerName]！！";"N-no, [PlayerName]!";"[PlayerName] !!!";"[PlayerName]!";
"ホホホホ……
この世界の住人は、皆さん乱暴ですねぇ
この私に刃向かおうなどと
なんと身の程知らずな……いや

なんと美しくないのでしょう！
ホホホ……、でもまあこの醜い世界とも
もう少しでオサラバです";"You think you can challenge ME?
Why, I am the portrait of perfection!

While all of you...? Merely scribbles
and squiggles. The very sight of
you offends my eyes!
Still, I'll be leaving this ugly world
soon enough.";"Hahaha ! Comme tous les habitants
de ce monde, tu n'es qu'un rustre
incapable de la moindre subtilité.
Et tu oses te mesurer à moi ! Tu fais
preuve d'une insolence rare, petit...


　　　Pire encore, tu es LAID !!!

Mais qu'importe tout cela... Ce
monde répugnant n'en a plus pour
très longtemps... Hahahaha !";"Hoho...
Die Bewohner dieser Welt sind alle
so roh und ungestüm!
Sich mir entgegenzustellen...
Was für eine Vermessenheit!


　　　　Ihr seid unwürdig!

Zum Glück muss ich nicht mehr allzu
lange in dieser hässlichen Welt
verweilen.";
"ふんっ！
アナタは絵にするほどの価値もない";"Gah! Out of my way.";"Hors de ma vue !";"Du taugst nicht mal zum Gemälde!";
"そういえば、さっき絵にした男は
思ったよりも美しくならなかったですね
まあ、いいでしょう

さあ、次の美しいモチーフを
探しに行くとしましょうか
ホーホホホ……";"Not even that captain of yours could
stand against my might.

For all his spit and polish, he made
for but a crude doodle on the wall.
A waste of my magic.
Farewell, fools. I'm off to acquire
what little perfection I can find in
this gaudy world of yours.";"Tu ferais un bien piètre modèle.
Tout comme l'homme que j'ai
transformé tout à l'heure, d'ailleurs...
Mais rien de tout cela n'a
d'importance.

Il est temps pour moi de me mettre
en quête de ma prochaine source
d'inspiration...
Hahahaha !";"Auch dieser Hauptmann ist nicht
gerade ein Bild von einem Mann
geworden! Enttäuschend...
Aber es spielt keine Rolle.
Meine Suche nach dem perfekten
Motiv geht weiter. Hohoho...";
"セレス……
このことを……だれかゼルダ姫様に……";"N-n-no! Don't take my Seres...


We must...warn...Princess Zelda...";"Célès...
La princesse Zelda doit être
informée... au plus vite...";"Meine Seres...
Prinzessin Zelda muss erfahren,
was hier geschehen ist!";
"あーっ、もう！
アナタ邪魔ですね！";"Enough of this! You're going to
spoil everything!";"Mais arrête ça tout de suite !
Tu vas tout gâcher !";"Genug der Spielchen!
Du bist lästig!";
"そこに張り付いてなさい！";"You've forced my hand. I must brush
you aside!";"Tiens, voilà qui devrait te calmer !";"Mal sehen, was für ein Bild du abgibst!";
"やはり……くだらない
ただのラクガキになってしまった
そこで朽ちはてるがいい";"What a sad, drab painting you make.
You can rot there for all I care.";"Je l'aurais parié ! Un rendu tout
à fait quelconque, au bas mot.
Un vulgaire graffiti.

Reste donc à moisir sur ton mur !";"Dachte ich es mir... Mehr als eine
primitive Kritzelei ist dabei nicht
herausgekommen!
Am besten lasse ich dich da hängen,
bis du verblichen bist.";
"さあ次はゼルダ姫を私のアートに……
ホーホッホッホッ……";"Now, onward. My collection requires
even more perfect paintings.

Oh, how I long to hang that exquisite
Princess Zelda on my wall...";"Bien, c'est à présent au tour de
la princesse Zelda de rejoindre
ma collection... Hahahaha !";"So, dann werde ich als Nächstes
Prinzessin Zelda meiner Sammlung
hinzufügen.";
"アナタ、とてもツイてます";"You've arrived just in time!";"Tu as beaucoup de chance, tu sais.";"Die Götter müssen dir gewogen sein.";
"ご覧なさい
良いコレクションだと思いませんか？";"A splendid collection, don't you think?
All Seven Sages, and Zelda herself...";"Contemple ces merveilles !
Une collection remarquable,
n'est-ce pas ?";"Du darfst meine exquisite
Sammlung bewundern.";
"今から素晴らしいショーを
お見せしましょう";"But even they pale in comparison
to my NEXT artful creation.";"À présent, tu vas assister à un
spectacle exceptionnel.";"Willkommen in meiner
Galerie der Schönheit!";
"刮目なさい！！

大魔王復活の……";"ME!


I will use the Sages to reach the one
who shall help me attain true beauty.

I mean, of course...";"
　 OUVRE GRAND TES YEUX !

Et admire ma sublime illusion...";"Der Titel der heutigen Ausstellung:";
"イリュージョン！";"GANON!";"
　La renaissance de Ganon !";"[Flush]
   Die Auferstehung Ganons!";
"おぉ……これが力のトライフォース……
美しい！
私と一つになり
美を追求しようではありませんか！";"Behold! The Triforce of Power!


Join with me! Let us destroy all
ugliness in this world or any other.
We shall be TRULY superior!";"Voici donc la Triforce de la force...
Comme elle est belle !

Viens... Toi et moi ne ferons plus
qu'un, et ensemble, nous poursuivrons
ma quête de la beauté absolue !!!";"Das ist also das Triforce der Kraft...
Wie unvergleichlich schön!

Werde eins mit mir, auf dass wir
uns gemeinsam auf die Suche
nach Schönheit begeben!";
"ハイラルの勇者[PlayerName]
私はヒルダ
とうとうユガは七賢者の力によって
古の大魔王ガノンの力を手にしてしまいました
ユガはこの強大な魔力で
世界を支配しようとするでしょう";"Oh, Hero of Hyrule, I can hold the
beast at bay for only so long.

It should prove enough time to bid
you a most sorrowful welcome to
my kingdom. Welcome to Lorule.
My name is Princess Hilda, and I
have failed you in every way.

I knew Yuga planned to slip into your
world to abduct Zelda and the Sages.
I...I couldn't stop him.
Now he has used them to summon the
Demon King and siphon his power.

Yuga's appetite will soon consume
our worlds. Hyrule and Lorule—the
beast's for the taking.";"[PlayerName], héros du
royaume d'Hyrule.
Je suis Hilda.
Grâce aux pouvoirs des Sept Sages,
Yuga s'est approprié la puissance de
Ganon, l'antique seigneur du mal.
Il utilisera certainement ses pouvoirs
pour conquérir ce monde.

Et il s'en prendra ensuite à Hyrule.";"[PlayerName], Held von
Hyrule! Mein Name ist Hilda.

Yuga hat die Sieben Weisen benutzt,
um der Macht Ganons Herr zu werden.

Mit dieser bösartigen Kraft wird Yuga
versuchen, die Welt zu unterjochen...

Und dazu zählt natürlich auch Hyrule!";
"話は後で……
ここは、私の力で食い止めます";"I cannot hold him back much longer.
So...I must see you to safety.";"J'ai encore bien des choses à te dire,
mais pour le moment il me faut tenter
de contenir son pouvoir.";"Über den Rest werden wir später
sprechen... Mit meinen Kräften kann
ich uns etwas Zeit gewinnen!";
"よく来てくれました
勇気のトライフォースを得たのですね？";"You have done well to come so far,
Hero of Hyrule. I trust you now have
the Triforce of Courage?";"Ainsi, tu es de retour... Tu as obtenu
la Triforce du courage, n'est-ce pas ?";"Ich bin froh, dass du gekommen bist.
Du hast das Triforce des Mutes
errungen, nicht wahr?";
"少しこの国のお話をしましょうか……";"Perhaps it's only fair that I share a
story with you.

It's the legend of how Lorule fell to
its...current condition.";"Alors, si tu le veux bien, je voudrais
te raconter l'histoire de mon royaume
bien-aimé.";"Lass mich dir ein wenig von diesem
Reich erzählen...";
"かつて、このロウラルには触れた者の願いを
叶える黄金の聖三角がありました
トライフォースと呼ばれています

人々はその力を我が物にせんと争い
王国は荒れ果てました";"Long ago, Lorule possessed a sacred
golden treasure. It could grant the
wish of anyone who touched it.
It was known as the Triforce in our
world, as it is in yours.

Many sought to control the Triforce,
plunging Lorule into endless war.
Our kingdom was on the verge of ruin.";"En des temps reculés, Lorule détenait
un fabuleux triangle d'or qui exauçait
les vœux de quiconque le touchait.
On l'appelait la Triforce.


Cette Triforce éveilla les convoitises,
et le royaume de Lorule fut bientôt
déchiré par la guerre.";"In Lorule gab es einst ein goldenes
Dreieck, das dem, der es berührt,
seinen sehnlichsten Wunsch erfüllte.
Man nannte es das Triforce.


Jeder wollte diese Macht besitzen.
Kriege wurden geführt und
verwüsteten unser Reich.";
"我がロウラル王家の先祖はそれを憂い、争いの
元であるトライフォースを破壊したのです
しかし、それは過ちでした……

トライフォースは神の力……
その存在は、世界を支える柱でもあったのです
支えを失ったロウラルは
滅びの運命をたどっています";"My ancestors got rid of the Triforce
to stop the war—by destroying it.
Utterly and absolutely.
It was done with good intentions.
But it had disastrous consequences.

The Triforce was the foundation of
our world, and without it, our kingdom
crumbled.
Chaos has since reigned in Lorule.";"La famille royale d'alors, mes ancêtres,
prit finalement la décision de détruire
ce qui leur avait valu tant de malheur.
Ce fut une terrible erreur.


La Triforce était le pouvoir des Dieux,
la fondation même de notre monde.

Dès qu'elle fut détruite, Lorule sombra
dans la décadence.";"Dies grämte meine königlichen
Vorfahren, und so zerstörten sie den
Auslöser des Kriegs – das Triforce.
Aber es stellte sich heraus, dass
das ein großer Fehler war.

Das Triforce enthält die Macht der
Götter. Auf ihm ruht die Welt.

Ohne diesen Pfeiler drohte
Lorule der Untergang.";
"……この地にはトライフォースが
必要なのです
そしてある時、私たちはもう一つの世界の
トライフォースを知りました";"We NEED a Triforce. So imagine my
surprise when I learned of the
existence of another one.
Yours.";"Sans sa Triforce, notre monde était
condamné.

Ce n'est que bien plus tard que
nous apprîmes l'existence d'une
autre Triforce...";"Unsere Welt braucht das Triforce.


Eines Tages erfuhren wir von der
Existenz eines weiteren Triforce in
einer anderen Welt.";
"力と、知恵と、勇気のトライフォース

あなたを導いてきたのは
勇気のトライフォースを呼び覚ますため……";"A Triforce based on such virtues as
Power, Wisdom, and Courage.

To that end, I have guided your
destiny, Hero of Hyrule.";"La Triforce... Sagesse, force et
courage réunis...

C'est pour éveiller la Triforce du
courage qui sommeillait en toi
que je t'ai guidé.";"Kraft, Weisheit und Mut...


Ich habe dich angeleitet, um an das
Triforce des Mutes zu gelangen.";
"私はこの国の王女
先祖の過ちを正さねばなりません
あなたの、その……";"As the Princess of Lorule, it is my
duty to save my kingdom. So I know
you'll understand it when I say...";"Je suis la souveraine de ce royaume,
et je corrigerai l'erreur de mes
ancêtres. Ainsi...";"Ich bin die Königin dieses Reiches.
Es ist meine Aufgabe, den Fehler mei-
ner Ahnen ungeschehen zu machen!
Und du wirst mir dabei helfen...";
"勇気のトライフォースを渡しなさい！";"I must have your Triforce of Courage!";"[Flush]
   Donne-moi la Triforce du courage !";"Du wirst uns das Triforce
des Mutes geben!";
"ユガ！
勇気のトライフォースを手に入れるのです！
ロウラルの復活のために！";"Yuga! I command you! Seize the
Triforce of Courage from him!
Lorule shall be reborn!";"Yuga ! Empare-toi de
la Triforce du courage !

Rends à mon royaume sa grandeur
passée !";"Yuga!
Nimm ihm das Triforce des Mutes ab!

Nur so kann Lorule neu erstehen!";
"ユガ！
力のトライフォースをこちらに！
それを失ったらロウラルは……";"Give me your Triforce of Power,
Yuga!

We mustn't be defeated! If we are,
Lorule will be lost forever!";"Yuga !
Donne-moi la Triforce de la force !

Sans elle, Lorule est...";"Yuga!
Das Triforce der Kraft...
Gib es mir, schnell!
Wenn es verlorengeht, ist
Lorule dem Untergang geweiht!";
"どうしたのです！？";"Come now, obey me! Give it to me
at once!";"Qu'est-ce que... ?";"Was ist...?!";
"フフフフ……";"Ha ha ha ha...";"Héhéhéhé...";"Hohohoho...";
"ヒルダ様……

私はこんな醜い王国など
本当はどうでもいいのです
私の夢はトライフォースを完成させて
この世の全てを私の作品に作り替えること";"My dear, sweet, deluded Hilda...!


What care have I to save your
crumbling kingdom? It's no better
than that hideous Hyrule.
When the Triforce is mine, I plan to
remake Lorule in MY image.";"Pour être parfaitement honnête, ma
chère Hilda...

Je me moque bien de ce qui peut
arriver à ce pays lugubre.

Aussi, tu m'excuseras si je préfère
vivre mon propre rêve...

Je reconstituerai la Triforce et ferai de
ce monde un véritable chef-d'œuvre !";"Hilda...


Das Schicksal dieses hässlichen
Reiches ist mir völlig gleichgültig.

Mein Ziel war, das Triforce zu vereini-
gen und mit seiner Macht die ganze
Welt in ein Kunstwerk zu verwandeln!";
"アナタは、その中でも最高のアートにして
差し上げますよ……";"Now you, my dark beauty, must
serve your purpose.";"Ta place est d'ailleurs toute trouvée :
tu seras le joyau de ma collection !";"Und dir erlaube ich, das Kronjuwel
dieses Kunstwerks zu werden!";
"やはり、アナタは美しい……";"I can hardly decide which of my
princess portraits is prettier.

But I do know which of you foolish
royal girls has what I need. And
now it will be mine.";"Oh... Quelle beauté radieuse, et
quel chef-d'œuvre !
Décidément, tu ne me déçois pas.";"Ja! Du bist wirklich schön!";
"ガーッハッハッハ！

ようやく、この世で最も美しい物と
神の力を得ることが出来ました！";"Ha ha ha! I shall soon take my
rightful place among the gods!

And then the beauty of destruction
will rain down upon this world!";"Hahahaha !


Je possède enfin la plus belle chose
que cet horrible monde ait à offrir !
Sans oublier le pouvoir des Dieux...";"Hohohoho!


Endlich gehören sie mir, die größte
Schönheit der Welt und die Macht
der Götter!";
"残るはあと一つ……
アナタの醜い顔を見るのも、これで最後です！";"Now, I'll be taking that last piece of
the Triforce from you, worm!

How far you've wriggled! But at last
you know your true destiny—to
give me what's MINE.";"Il ne me reste donc plus qu'une chose
à faire... M'assurer de ne plus jamais
revoir ton affreux visage !";"Bleibt mir nur noch eines zu tun...
Dein unschönes Antlitz ein für alle
Mal auszuradieren!";
"最初にこの入口を見つけたのは
ユガでした";"Yuga discovered that there was a
strange crack in this grim slate...";"C'est Yuga qui découvrit
ce passage.";"Yuga war der Erste, der diesen Riss
bemerkt hat.";
"私たちは、この向こう側にトライフォースが
あることを知り、今回のことを企てたのです";"Through it, we could sense that there
was another world beyond ours...
a place where the Triforce still existed.
He and I devised the scheme that
imperiled your kingdom. But I alone
will set this right.";"Nous avions appris l'existence
d'une Triforce de l'autre côté, et
nous élaborâmes notre plan.";"Wir erfuhren, dass sich auf der
anderen Seite ein weiteres Triforce
befand, und ersonnen unseren Plan.";
"[PlayerName]……
その腕輪を私に……";"Please now, if you will give me your
bracelet, [PlayerName].";"Puis-je avoir ton bracelet,
[PlayerName] ?";"[PlayerName]...
Gib mir den Armreif.";
"ハイラルの勇者[PlayerName]
ボクもキミのようになりたかった";"It's been a pleasure, my friend. I got
to meet a real, live, genuine hero.

Ha! Who knows? Maybe some of your
courage rubbed off on me. So thanks,
[PlayerName].";"[PlayerName], héros du royaume
d'Hyrule... J'aurais tellement voulu
te ressembler !";"[PlayerName], Held von
Hyrule... Ich wollte werden wie du.";
"腕輪に残った力で、あなたたち二人を
ハイラルへ帰すことが出来るはず……";"I should be able to use the last of its
power to send the both of you home
to Hyrule.";"Il reste suffisamment de magie dans
ton bracelet pour vous renvoyer tous
les deux en Hyrule.";"Die Kraft im Armreif dürfte noch
dafür ausreichen, euch nach Hyrule
zurückzuschicken...";
"私はいったい……";"Wh-what more can I do...?";"Que veux-tu que je...";"Aber... Was soll ich nur tun...";
"あなたも絵にされて
取りこまれていたのです";"So it was you who had me imprisoned
in that painting, Princess Hilda?";"Ainsi, c'est également à vous que je
dois mon emprisonnement sur cette
toile...";"Euch habe ich es also zu verdanken,
dass ich in einem Gemälde
eingesperrt war.";
"…………";"Obviously.";"...";"...";
"ヒルダ姫……

私もハイラルの王女
あなたが国を救いたい気持ちは分かります";"Please, Princess Hilda...


No one understands the sacred duty
a princess has to her people more
than I, but you can't—";"Princesse Hilda...


En tant que souveraine d'Hyrule, je
comprends que vous ayez voulu tout
tenter pour sauver votre royaume.";"Königin Hilda...


Als Prinzessin von Hyrule kann ich
gut verstehen, dass Ihr Euer Reich
bewahren wolltet.";
"……！！";"...Oh, my!";"...";"...!!";
"トライフォースに守られていたあなたに
何が分かると言うの？";"You understand nothing!


Your kingdom has been under the
protection of your Triforce...";"Comment pourrais-tu comprendre ?!
Protégé par sa Triforce, ton royaume
n'a rien à craindre...";"Was versteht Ihr schon? Ihr hattet
stets den Schutz des Triforce!";
"……それは";"But that's...!";"Pourtant, je...";"...
Das ist...";
"まだ終わってない……
終わらせるわけには……";"This isn't over! I must have it!";"Tout n'est pas encore perdu...
Je ne l'accepterai pas !";"Es ist noch nicht zu Ende...
Das lasse ich nicht zu!";
"待ってください！";"Please! This has to stop!";"Attendez !";"Bitte wartet!";
"……";"Who—?";"...";"...";
"[PlayerName]さん
実はボクは……この世界の人間なんです
……昔はヒルダ様に
お仕えしていました
ゼルダ姫
[PlayerName]さん……
ここはボクに任せてもらえませんか？";"Well, funny story there. Your hero
and I have gotten to know each
other pretty well.
But not long ago, I served Princess
Hilda here in Lorule.

So, begging your pardon, Princess
Zelda, but would you mind if I
intervene here?";"[PlayerName]...
Je... Je suis en fait un habitant de
ce monde.
J'étais au service de dame Hilda,
il y a bien longtemps...

Princesse Zelda, si cela ne vous
fait rien, j'aimerais essayer de lui
parler.";"Auch ich stamme aus dieser Welt.


...Vor langer Zeit war ich in Diensten
von Königin Hilda.

Prinzessin Zelda...
[PlayerName]...

Darf ich ein paar Worte an die
Königin richten?";
"逃げ出したあなたがなぜ
今さら戻ってきたの？";"You vanish on me and now come
crawling back? Why?";"Tu as fui notre royaume...
Pourquoi es-tu revenu ?";"Du hast dich einfach aus dem Staub
gemacht! Zu welchem Zweck bist du
nun zurückgekommen?";
"申しわけありません、ヒルダ様……
あなたもご存じの通り、私は臆病者です
あなたやユガを止められず、無力な私は
ハイラルに行き、勇者の力を借りたのです";"Forgive me, Your Highness. I'm a
coward at heart.

There was no way that I had the
courage to stand up to you and Yuga.

But I was smart enough to go to
Hyrule. I knew they'd have a hero
who could help me.";"Je vous demande pardon, princesse
Hilda. Je ne suis qu'un lâche,
comme vous le savez...
J'étais incapable de vous arrêter,
Yuga et vous. Je suis donc parti
demander l'aide du héros d'Hyrule.";"Verzeiht mir, Königin Hilda...


Wie Ihr wisst, bin ich ein Schwächling
und ein Feigling.

Ich vermochte es nicht, Euch und Yuga
aufzuhalten...

Und so floh ich nach Hyrule, um den
Helden zu unterstützen.";
"ヒルダ様……";"Your Royal Highness...";"Dame Hilda...";"Königin Hilda...";
"私を裏切って勇者に力を貸していたのね";"Another betrayal?! This hero has
proven useful to me, but you—!
You wanted him to defeat me?";"Ainsi, tu m'as trahie pour te ranger
aux côtés du Héros ?";"Du gibst also zu, dass du mich
verraten hast und diesem Helden
zur Seite standest?";
"そうかもしれません

しかし、ロウラルを元のような光あふれる国に
したいという願いは私も同じです！";"I-I'm sorry, my princess. But it was
with the best of intentions.";"Ce n'est qu'une façon de voir les
choses...

Ce que je voulais surtout, c'était voir
Lorule retrouver sa lumière d'antan !";"Wenn Ihr es so sehen wollt...


Letztendlich ist unser Wunsch
derselbe: Lorule soll wieder in
altem Glanz erstrahlen!";
"だけど……そのためにハイラルが
どうなっても構わないというのですか？";"I wish the best for our kingdom.
But by ruining Hyrule...? 

You'd bring out the absolute worst
in Lorule.";"Mais la poursuite de ce but nous
donne-t-elle le droit de condamner
Hyrule ?";"Aber dürfen wir Hyrule ins Unglück
stürzen, um dieses Ziel zu erreichen?";
"あなたこそ、ロウラルがどうなってもいいと？";"You'd rather see Lorule crumble?!";"Si tu ne prends pas ce droit, c'est
Lorule que tu condamnes !";"Würdest du lieber zusehen,
wie Lorule ins Unglück stürzt?";
"あなたがロウラルのことを思っているのは
よく分かっています
しかし、これが本当に正しいことでしょうか？";"No, no... Of course not, Princess. But
there must be some other way.";"Croyez-moi, je sais à quel point le
destin de Lorule vous tient à cœur.

Mais croyez-vous sincèrement que
votre méthode soit défendable ?";"Ich verstehe, wie sehr Euch
Lorule am Herzen liegt.

Aber seid Ihr sicher, dass dies
der richtige Weg ist?";
"…………";"No...";"...";"...";
"ご先祖様がトライフォースを壊したのも
元々はトライフォースを巡る争いを……";"Don't you realize? The reason your
noble ancestors destroyed our
Triforce...";"Après tout, vos ancêtres avaient une
bonne raison de détruire la Triforce.";"Eure Vorfahren hatten einen guten
Grund, das Triforce zu zerstören.";
"やめさせたかったからではありませんか！";"was to STOP such chaos!";"Ils voulaient mettre fin aux conflits
nés de la convoitise qu'elle éveillait.";"Ein Ende des schrecklichen Krieges
war ihnen wichtiger als seine Macht.";
"それは……";"That's not what I...!";"Je ne...";"Das ist...";
"しかし、あなたのやろうとしていることは……";"Look around you...";"Mais en menant à bien votre plan,
Votre Altesse...";"Aber was Ihr nun tut, Hilda...";
"過去のトライフォースを巡る
争いそのものです";"This is EXACTLY what happened with
our Triforce...!";"... vous laissez votre convoitise pour
la Triforce répandre une nouvelle fois
la destruction.";"Ist es nicht genauso schrecklich
wie die einstigen Kriege?";
"…………";"Oh, no...";"...";"...";
"ヒルダ様……私は……";"Princess Hilda, I...";"Princesse Hilda...";"Königin Hilda... Ich...";
"ロウラルを憂い苦しんでいる
あなたを救いたかった……";"I just wanted to save you from all
this—you, who've worried endlessly
about the fate of Lorule.";"Je voulais vous sauver de vous-même,
vous qui n'avez jamais voulu que le
bien de Lorule !";"Ich sah, wie sehr Euch das Schicksal
Lorules in Verzweiflung stürzte, und
wollte Euch retten!";
"ヒルダ様……
もう終わりにしましょう
トライフォースを失ったロウラルは
滅びるのかもしれません
しかし、これが私たちのロウラルなのです";"Please, Princess Hilda, let's do the
right thing.

Lorule may be doomed, but at least
our kingdom won't be condemned
for stealing their Triforce.";"Princesse Hilda...
Il est encore temps de tout arrêter.

Sans sa Triforce, Lorule a perdu son
lustre et sa grandeur...

... mais c'est toujours notre royaume !";"Königin Hilda...
Lasst uns diesen Wahnsinn beenden.

Ohne das Triforce mag Lorule dem
Untergang geweiht sein.

Aber es ist immer noch unser Reich!";
"ゼルダ姫……私もトライフォースの力に
惑わされた一人のようです";"You're right.


Princess Zelda, I have been led
astray, tempted by the power of
your Triforce. But I swear...";"Princesse Zelda... Je crains de m'être
égarée en chemin. Le pouvoir de la
Triforce m'a aveuglée...";"Prinzessin Zelda... Es scheint, dass
die Macht des Triforce mich blind
gemacht hat.";
"ロウラルの王女として失格です……";"I did it for my people.";"Je ne suis pas digne de régner
sur Lorule...";"Ich bin nicht würdig, die Königin
von Lorule zu sein.";
"……ヒルダ姫";"Please, Princess Hilda, there is no
need to—";"Princesse Hilda...";"...
Königin Hilda...";
"勇者[PlayerName]よ
あなたは真の勇気の持ち主……
正しい心を持ったあなたの世界にこそ
トライフォースはふさわしい
お二人をトライフォースとともに
元の世界へお送りします";"No, please, let me finish. You are so
fortunate to have a hero like
[PlayerName].
What courage he has displayed!
That alone proves that Hyrule
deserves its Triforce.
Now I will ensure that you leave this
dark kingdom of mine safely—and
with your Triforce.
Please, follow me. I know of a way
that you can go home.";"[PlayerName], héros du
royaume d'Hyrule. Tu possèdes le 
véritable courage et ton cœur est pur.
La place de la Triforce est dans ton
monde. C'est là qu'elle doit reposer.

Je vais vous renvoyer tous les
deux en Hyrule, et la Triforce
vous y suivra.";"[PlayerName]!
Du besitzt wahren Mut!

Das Triforce gehört in eine Welt, in
der aufrechte Menschen wie du leben.

Ich werde euch beide zusammen
mit dem Triforce in eure Welt
zurückschicken.";
"ここは我々の聖地……";"Welcome to Lorule's Sacred Realm...";"Ce lieu est notre terre sacrée.";"Dies ist unser Heiliges Reich...";
"ありがとう……
……ゼルダ";"Thank you, Princess Zelda...
Oh, thank you...";"Zelda...
Merci à toi...";"Danke...


Prinzessin Zelda...";
"ありがとう
[PlayerName]……";"And to you as well, Hero of Hyrule...
Thank you, [PlayerName]!";"Merci, [PlayerName]...";"Danke, [PlayerName]...";
"アナタの顔は見飽きました！";"I have what I've come to Hyrule for,
so I refuse to let you delay my
departure any further.";"Je t'ai assez vu, misérable !";"So langsam kann ich dein Gesicht
nicht mehr sehen!";
"なんて美しいアートでしょう
自分の才能が恐ろしい";"What a beautiful masterpiece. My
talent is almost frightening.";"Cette toile est parfaitement sublime.
Parfois, mon infini talent me surprend
moi-même.";"Was für ein wunderschönes
Kunstwerk! Manchmal erschaudere
ich regelrecht vor meiner Begabung!";
"それに引き替えアナタは……
何て見苦しい……";"And then there's you, worm.


I can barely bring myself to look at
such an inferior creature.";"Toi, en revanche, tu es tout ce qu'il
y a de plus commun. Pour ne pas dire
absolument LAID.";"Dich anzusehen ist dagegen
eine Qual, die ich gerne
vermeiden würde...";
"アナタ、あの壁からどうやって
出てきたんです？
そんな力を持っているなんて……
……あなどれませんね";"And yet, it seems there's more to you
than meets the eye. How DID you
manage to escape that wall?";"Comment un avorton tel que toi a-t-il
pu échapper à mon sortilège, voilà qui
me dépasse !";"Wie hast du es angestellt, aus meinem
Gemälde zu entkommen?

Du bist doch nicht so ein
Einfaltspinsel, wie ich dachte...";
"ゆっくり訳を聞きたいところですが……
今は話を聞いているヒマがありません";"Never mind. I don't have time to
listen to your prattle.";"Il y a deux minutes, je t'aurais posé
la question, mais pour tout te dire,
tu ne m'intéresses déjà plus.";"Aber so gerne ich mich ausführlich
darüber unterhalten würde, leider
fehlt mir die Zeit.";
"おのれえ～
小賢しい虫ケラめ！";"Gah! I bore of this fight.";"Misérable !";"Du hältst dich wohl für sehr gerissen!";
"大魔王ガノンの力を手に入れたら
真っ先にお前をぶっ潰してやる！";"Once I have released Ganon, lowly
creatures like you won't be worth
my time.";"Dès que je posséderai les pouvoirs de
Ganon, le seigneur du mal, tu seras le
premier à périr sous mes coups !";"Sobald ich Ganons Macht erlangt
habe, werde ich als Allererstes
dich wie einen Käfer zertreten!";
"しかし！
その髪の色！
太陽の光をうけて輝く黄金色……
私の好みではありませんね";"Ah, what golden hair you have...
Such bright locks are normally far
too sunny for my tastes.
But for you, I'll make an exception.";"Cependant... ces cheveux clairs, ce
halo de lumière...

De l'or pur où s'accrochent les rayons
du soleil ! Je dois dire que tout cela
n'est guère à mon goût.";"Aber diese Haare...
Ihre Farbe!

Golden glitzern sie im Licht der
Sonne... Nein, das widerspricht
meinem ästhetischen Empfinden!";
"………私の言葉など
聞く耳を持たないという訳ですね";"You're not even listening to me!";"... ... ... Très bien. Je vois que vous
n'avez aucunement l'intention
d'écouter ce que j'ai à vous dire.";"...Ihr seid also nicht bereit, meinen
Worten Gehör zu schenken.";
"[Flush]キャアアアアアアア！";"[Flush]Aaaahhh!";"[Flush]Aaaaaaaaaahhhhh !!!";"[Flush]
                   Aaaaaaaah!";
"ホーホッホッホ……

これはすばらしい
実にすばらしい！
私の代表作と呼ぶにふさわしい
傑作となりました！";"Haha! My lovely masterpiece! How
utterly scrumptious!

Dare I say, it's my best work ever!";"Hahahaha...


Quelle merveille ! Une réussite
incontestable.

Une œuvre qui mérite amplement
son titre de joyau de ma collection !";"Hohohoho...


Wundervoll.
Erhaben!

Ein Meisterwerk, das selbst in meiner
Sammlung seinesgleichen sucht!";
"ホーホッホッホ！";"Wah-hahaha!";"Hahahahaha !!!";"Hohohoho!";
