Japanese;English;French;
"なくした[Tag Color  val={D9456DFF} ][Tag Ruby  val={03000600E38191E38293} ]剣[Tag Color  val={EDEDEDFF} ]を [Tag Ruby  val={03000300E381A6} ]手に[Tag Ruby  val={03000300E38184} ]入れた！
[Tag Ruby  val={06000900E381AAE381BEE38188} ]名前[Tag Ruby  val={03000300E38184} ]入りだから まちがいない！[KeyWait]
これで [Tag Ruby  val={03000600E381A6E3818D} ]敵を [Tag Ruby  val={06000C00E38193E38186E38192E3818D} ]攻撃できるぞ。
[HidIcon]で [Tag Ruby  val={03000300E381B5} ]振り[Tag Ruby  val={03000600E381BEE3828F} ]回そう！[KeyWait]";"You found your [Tag Color  val={D9456DFF} ]sword[Tag Color  val={EDEDEDFF} ]! It must be yours
because it has your name engraved on it![KeyWait][Tag PageBreak  ]You can swing it with [HidIcon] to attack any
enemies in your path.[KeyWait]";"Vous avez retrouvé votre [Tag Color  val={D9456DFF} ]épée[Tag Color  val={EDEDEDFF} ] !
C'est la vôtre, car votre nom est inscrit
dessus ![KeyWait][Tag PageBreak  ]Attaquez les ennemis qui se dressent sur
votre route avec [HidIcon] ![KeyWait]";
"ホホウ！[KeyWait][Tag PageBreak  ]ふしぎの[Tag Ruby  val={03000600E38282E3828A} ]森に ようこそ
[Tag Ruby  val={06000600E38281E38196} ]目覚めを[Tag Ruby  val={03000300E381A4} ]告げし [Tag Ruby  val={06000C00E38286E38186E38197E38283} ]勇者どの[KeyWait]
この[Tag Ruby  val={03000600E38197E381BE} ]島は コホリントという
[Tag Ruby  val={06000600E381A1E3819A} ]地図には けっして のらぬ[Tag Ruby  val={03000600E38197E381BE} ]島ぢゃ[KeyWait]
ぼうやの[Tag Ruby  val={06000900E3819BE3818BE38184} ]世界と ちと ちがう
[Tag Ruby  val={03000C00E38193E381A8E3828FE3828A} ]理で [Tag Ruby  val={03000300E381AA} ]成り[Tag Ruby  val={03000300E3819F} ]立っておる[KeyWait]
[Tag Ruby  val={03000600E38197E381BE} ]島から [Tag Ruby  val={03000300E381A7} ]出るのは [Tag Ruby  val={06000600E38280E3828A} ]無理ぢゃのう[KeyWait][Tag PageBreak  ]コホリント[Tag Ruby  val={03000600E38198E381BE} ]島を [Tag Ruby  val={03000600E3818AE38195} ]治める[Tag Ruby  val={03000600E3818BE381BF} ]神 [Tag Color  val={D9456DFF} ]かぜのさかな[Tag Color  val={EDEDEDFF} ]が
ねむる[Tag Ruby  val={03000600E3818BE3818E} ]限り [Tag Ruby  val={03000600E3819DE381A8} ]外への[Tag Ruby  val={03000600E381BFE381A1} ]道は [Tag Ruby  val={03000600E381B2E38289} ]開かれぬ[KeyWait]
……ところで [Tag Ruby  val={03000600E38280E38289} ]村の[Tag Ruby  val={03000900E381BFE381AAE381BF} ]南の
[Tag Color  val={0095EFFF} ]テールのほらあな[Tag Color  val={EDEDEDFF} ]は [Tag Ruby  val={03000300E381BF} ]見たか？[KeyWait]
この[Tag Ruby  val={03000600E38282E3828A} ]森にある カギを [Tag Ruby  val={03000300E38282} ]持って
[Tag Color  val={0095EFFF} ]テールのほらあな[Tag Color  val={EDEDEDFF} ]に [Tag Ruby  val={03000300E38184} ]行くがよい[KeyWait]
[Tag Color  val={D9456DFF} ]かぜのさかな[Tag Color  val={EDEDEDFF} ]は [Tag Ruby  val={03000300E381BF} ]見ておるぞ。
ホッホウ！ ホッホウ！[KeyWait]";"Hoot! Ho, brave lad, on your quest to
wake the dreamer! Welcome to the
Mysterious Forest![KeyWait]
Much of mystery you will find on this
uncharted Koholint Island![KeyWait][Tag PageBreak  ]I'm afraid you may find it a trifle difficult to
leave the island while the [Tag Color  val={D9456DFF} ]Wind Fish[Tag Color  val={EDEDEDFF} ] naps. [KeyWait][Tag PageBreak  ]...By the by, have you ever visited the [Tag Color  val={0095EFFF} ]Tail
Cave[Tag Color  val={EDEDEDFF} ], which is [Tag Color  val={D9456DFF} ]south of the village[Tag Color  val={EDEDEDFF} ]?[KeyWait][Tag PageBreak  ]Go there with the [Tag Color  val={D9456DFF} ]key[Tag Color  val={EDEDEDFF} ] you find in
this forest...[KeyWait][Tag PageBreak  ]The [Tag Color  val={D9456DFF} ]Wind Fish[Tag Color  val={EDEDEDFF} ] is watching... Hoot![KeyWait]";"Hou ! Bienvenue dans la forêt Enchantée,
jeune héros de l'éveil ![KeyWait][Tag PageBreak  ]Apprends que la bien mystérieuse île
Cocolint n'existe sur aucune carte.[KeyWait][Tag PageBreak  ]Les règles qui la régissent diffèrent un peu
de celles de l'endroit d'où tu viens...[KeyWait][Tag PageBreak  ]Mais sache que tu ne pourras pas la quitter
tant que le [Tag Color  val={D9456DFF} ]Poisson-Rêve[Tag Color  val={EDEDEDFF} ], la divinité de l'île,
dormira.[KeyWait]
À propos, as-tu aperçu la [Tag Color  val={0095EFFF} ]caverne Flagello[Tag Color  val={EDEDEDFF} ],
située au sud du village ?[KeyWait][Tag PageBreak  ]La clé permettant de l'ouvrir est cachée dans
cette forêt. Trouve-la avant de t'y rendre ![KeyWait][Tag PageBreak  ]Le [Tag Color  val={D9456DFF} ]Poisson-Rêve[Tag Color  val={EDEDEDFF} ] te regarde. Hou ![KeyWait]";
"[Se]オラは いたずらタヌキだ……
[Tag Ruby  val={03000600E38193E381AA} ]粉っぽいモノが きらいだーよ[KeyWait]";"[Se]As a raccoon, my nose is verrry sensitive ta
stuff like dust and powder...[KeyWait]";"[Se]J'suis un raton laveur espiègle. Et j'aime pas
du tout c'qu'est poudreux... ![KeyWait]";
"[Se]イッシッシッシッ ふしぎの[Tag Ruby  val={03000600E38282E3828A} ]森で
ポンポコポコリン まようだべー！[KeyWait]";"[Se]Heh heh heh ho! You're goin' ta be lost,
thanks to me! Heh heh![KeyWait]";"[Se]Hé hé ! Tu vas te perdre dans la forêt. Hi hi !
Bien fait ![KeyWait]";
"[Se]おうおう それは [Tag Color  val={D9456DFF} ]ネボケタケ[Tag Color  val={EDEDEDFF} ]じゃ！
３[Tag Ruby  val={03000900E381B3E38287E38186} ]秒で イイもんを [Tag Ruby  val={03000600E381A4E3818F} ]作ってやろう[KeyWait]";"[Se]Ahhh... It has the [Tag Color  val={D9456DFF} ]sleepy toadstool[Tag Color  val={EDEDEDFF} ], it does! 
We'll mix it up something in a jiffy, we will![KeyWait]";"[Se]En voilà un beau [Tag Color  val={D9456DFF} ]champignon qui endort[Tag Color  val={EDEDEDFF} ] !
Bon ! Je te concocte une mixture dare-dare ![KeyWait]";
"[Se]ほれっ できあがりじゃ！
[Tag Ruby  val={06000C00E3818BE38184E38199E38186} ]回数に [Tag Ruby  val={03000300E3818D} ]気をつけて[Tag Ruby  val={03000600E381A4E3818B} ]使えよ[KeyWait]
まずは この[Tag Ruby  val={06000600E381B8E38284} ]部屋の どこかに
ふりかけてごらん……[KeyWait]";"[Se]It's all ready, it is! Take care, as there's
not much there! [KeyWait][Tag PageBreak  ]Why not try a bit in my hut?[KeyWait]";"[Se]Ça y est, c'est prêt ! Attention, il y en a peu ![KeyWait][Tag PageBreak  ]Si tu veux, tu peux l'essayer ici...[KeyWait]";
"[Se]うむ それでいい。[Tag Ruby  val={03000600E381A6E3818D} ]敵の[Tag Ruby  val={03000600E381AAE3818B} ]中にも
[Tag Ruby  val={06000900E381B8E38293E3818B} ]変化するやつが いるかもしれん[KeyWait]
なくなったら [Tag Ruby  val={03000600E38282E3828A} ]森でキノコをとってくるがいい。
[Tag Ruby  val={03000900E38182E3819FE38289} ]新しく [Tag Ruby  val={03000600E381A4E3818F} ]作ってやろう…[KeyWait]
キノコがなかったら [Tag Ruby  val={03000600E381AEE38193} ]残りを[Tag Ruby  val={03000300E3828F} ]分けてやってもいいぞ。
[Tag Ruby  val={03000600E381A4E3818E} ]次は お[Tag Ruby  val={03000600E3818BE381AD} ]金をもらうがな…[KeyWait]";"[Se]Good job! Use it on your enemies and see 
what happens.[KeyWait][Tag PageBreak  ]If you run out, go to the forest, pick some
toadstools, and I will make you more.[KeyWait][Tag PageBreak  ]Come back without a toadstool and you
may have to pay a price for my leftovers...[KeyWait]";"[Se]Très bien ! Essaie donc d'en saupoudrer tes
ennemis et... surprise ![KeyWait][Tag PageBreak  ]Si tu es à court, il te suffit de me ramener
un autre champignon de la forêt. Je t'en
concocterai à nouveau ![KeyWait]
Si tu n'as pas de champignon, je peux aussi
partager avec toi la poudre que j'ai en
réserve, mais il t'en coûtera quelques rubis ![KeyWait]";
"[Se]ふうーっ キノコをかじったら
タヌキになった[Tag Ruby  val={03000600E38286E38281} ]夢を [Tag Ruby  val={03000300E381BF} ]見てただ[KeyWait]
なにをやったか [Tag Ruby  val={03000600E3818AE381BC} ]覚えてねえだが
なんだか [Tag Ruby  val={03000600E3819FE381AE} ]楽しかっただよ[KeyWait]";"[Se]The last thing I kin remember was bitin' into
a big, juicy toadstool... Then, I had the
darndest dream... I was a raccoon![KeyWait][Tag PageBreak  ]Yeah, sounds strange, but it sure was fun![KeyWait]";"[Se]J'ai croqué dans un champignon, et puis
j'ai rêvé que j'étais devenu un raton laveur ![KeyWait][Tag PageBreak  ]Après, j'sais plus trop ce qui s'est passé,
mais c'était trop rigolo !!![KeyWait]";
"ホッ！[KeyWait][Tag PageBreak  ]そのカギを [Tag Ruby  val={03000300E38282} ]持って [Tag Ruby  val={03000600E38280E38289} ]村の[Tag Ruby  val={03000900E381BFE381AAE381BF} ]南の
[Tag Color  val={0095EFFF} ]テールのほらあな[Tag Color  val={EDEDEDFF} ]に [Tag Ruby  val={03000300E38184} ]行くがよい[KeyWait]
そのおくに ねむる [Tag Ruby  val={06000900E3818CE381A3E3818D} ]楽器を
[Tag Ruby  val={03000300E381BF} ]見つけ[Tag Ruby  val={03000300E381A0} ]出してみよ！[KeyWait]
[Tag Color  val={D9456DFF} ]かぜのさかな[Tag Color  val={EDEDEDFF} ]は [Tag Ruby  val={03000300E381BE} ]待っておるぞ。
ホッホウ！ ホッホウ！[KeyWait]";"Hoot! Take the [Tag Color  val={D9456DFF} ]key[Tag Color  val={EDEDEDFF} ] and go to the [Tag Color  val={0095EFFF} ]Tail Cave[Tag Color  val={EDEDEDFF} ].[KeyWait][Tag PageBreak  ]Retrieve the instrument that is hidden there!
Go now![KeyWait][Tag PageBreak  ]The [Tag Color  val={D9456DFF} ]Wind Fish[Tag Color  val={EDEDEDFF} ] is waiting! Hooot![KeyWait]";"Hou ! À présent, rends-toi à la [Tag Color  val={0095EFFF} ]caverne
Flagello[Tag Color  val={EDEDEDFF} ], au sud du village.[KeyWait][Tag PageBreak  ]Une fois à l'intérieur, récupère l'instrument
qui y repose ![KeyWait][Tag PageBreak  ]Le [Tag Color  val={D9456DFF} ]Poisson-Rêve[Tag Color  val={EDEDEDFF} ] t'attend. Hou hou ![KeyWait]";
"ンガフフ！！ ンガフフ！！
ヨソモノ！ ジャマモノ！[Sync]";"BUZZZZZ! BUZZZZ! OUTZZZIDER![Sync]";"GRRR ! GRR ! UN INTRRRUS ![Sync]";
"[Tag Color  val={D9456DFF} ][Tag Ruby  val={06000C00E381BEE38293E38192E381A4} ]満月のバイオリン[Tag Color  val={EDEDEDFF} ]だっ！[Sync]";"You got the [Tag Color  val={D9456DFF} ]Full Moon Cello[Tag Color  val={EDEDEDFF} ]![Sync]";"Vous avez obtenu le [Tag Color  val={D9456DFF} ]Violon des Vagues[Tag Color  val={EDEDEDFF} ] ![Sync]";
"[FadeIn][Lump][Tag Color  val={A0FFFFFF} ]……[Tag Ruby  val={03000600E381ACE381BE} ]沼……[Tag Ruby  val={03000600E381AFE381AA} ]花さく [Tag Ruby  val={03000600E381ACE381BE} ]沼に
[Tag Ruby  val={03000600E38182E38289} ]新たな [Tag Ruby  val={03000600E381BFE381A1} ]道が [Tag Ruby  val={03000600E381A4E381A5} ]続いている[Tag Color  val={EDEDEDFF} ]";"[Tag Color  val={EDEDEDFF} ][FadeIn][Tag Color  val={A0FFFFFF} ][Lump]...SWAMP...";"[FadeIn][Lump][Tag Color  val={A0FFFFFF} ]... Marais... Une nouvelle voie s'ouvrira
à toi dans le marais fleuri.[Tag Color  val={EDEDEDFF} ]";
"……[Tag Ruby  val={03000600E381ACE381BE} ]沼……[Tag Ruby  val={03000600E381AFE381AA} ]花さく [Tag Ruby  val={03000600E381ACE381BE} ]沼に
[Tag Ruby  val={03000600E38182E38289} ]新たな [Tag Ruby  val={03000600E381BFE381A1} ]道が [Tag Ruby  val={03000600E381A4E381A5} ]続いている[KeyWait]";"...SWAMP...[KeyWait][Tag PageBreak  ]A path opens...in the blooms...[KeyWait]";"... Marais... Une nouvelle voie s'ouvrira
à toi dans le marais fleuri.[KeyWait]";
"ホッホウ！ ホッホウ！[KeyWait][Tag PageBreak  ]それこそ [Tag Color  val={D9456DFF} ]セイレーンの[Tag Ruby  val={06000900E3818CE381A3E3818D} ]楽器[Tag Color  val={EDEDEDFF} ]！[KeyWait][Tag PageBreak  ]やはり ぼうやは [Tag Ruby  val={06000C00E381BBE38293E38282E381AE} ]本物ぢゃ！
[Tag Ruby  val={06000C00E3819FE381B3E3818BE38195} ]度重なる[Tag Ruby  val={06000900E381B6E3828CE38184} ]無礼を [Tag Ruby  val={03000600E38286E3828B} ]許されよ……[KeyWait]
その[Tag Ruby  val={06000900E3818CE381A3E3818D} ]楽器は [Tag Color  val={D9456DFF} ]かぜのさかな[Tag Color  val={EDEDEDFF} ]を
[Tag Ruby  val={03000300E3818A} ]起こす[Tag Ruby  val={03000900E381A1E3818BE38289} ]力を もっておる[KeyWait]
[Tag Ruby  val={06000900E3818CE381A3E3818D} ]楽器は [Tag Ruby  val={06000900E3819CE38293E381B6} ]全部で ８つある。
８つ [Tag Ruby  val={03000600E38199E381B9} ]全て [Tag Ruby  val={03000600E38182E381A4} ]集めるのぢゃ[KeyWait]
ワシは ぼうやの [Tag Ruby  val={03000300E38286} ]行くべき[Tag Ruby  val={03000600E381BFE381A1} ]道を
[Tag Ruby  val={03000600E38197E38281} ]示さんがため つかわされた[Tag Ruby  val={03000600E38282E381AE} ]者[KeyWait]
[Tag Ruby  val={03000600E3818DE3819F} ]北にある [Tag Color  val={0095EFFF} ]ゴポンガの[Tag Ruby  val={03000600E381ACE381BE} ]沼[Tag Color  val={EDEDEDFF} ]に[Tag Ruby  val={03000300E38184} ]行きなされ。
ホッホウ！[KeyWait]";"Hoooot! That is an [Tag Color  val={D9456DFF} ]Instrument of the Sirens[Tag Color  val={EDEDEDFF} ]![KeyWait][Tag PageBreak  ]I have to admit, at first I did not believe you
were real...[KeyWait][Tag PageBreak  ]That instrument, along with the seven
others in the set, has the power to wake
the [Tag Color  val={D9456DFF} ]Wind Fish[Tag Color  val={EDEDEDFF} ]![KeyWait][Tag PageBreak  ]You must collect them all! I was instructed
to give you directions...[KeyWait][Tag PageBreak  ]Your next goal is north, in [Tag Color  val={0095EFFF} ]Goponga Swamp[Tag Color  val={EDEDEDFF} ]!
Hoot, indeed![KeyWait]";"Hou ! C'est un des [Tag Color  val={D9456DFF} ]instruments des Sirènes[Tag Color  val={EDEDEDFF} ] ![KeyWait][Tag PageBreak  ]Tu es brave et je t'avais sous-estimé...
J'espère que tu sauras me pardonner.[KeyWait][Tag PageBreak  ]Cet instrument, utilisé avec les sept autres,
a le pouvoir de réveiller le [Tag Color  val={D9456DFF} ]Poisson-Rêve[Tag Color  val={EDEDEDFF} ].[KeyWait][Tag PageBreak  ]Il te faut donc à présent rassembler les huit
instruments ![KeyWait][Tag PageBreak  ]Quant à moi, mon rôle est de t'indiquer
le chemin...[KeyWait][Tag PageBreak  ]Maintenant, va au [Tag Color  val={0095EFFF} ]marais des Anémones[Tag Color  val={EDEDEDFF} ],
situé au nord ! Hou ![KeyWait]";
"[Quake][Se]あっ！ にいちゃん タイヘン！
タイヘンだよー！ あのねあのね[KeyWait]";"[Quake][Se]Hey, buddy! It's serious! Yeah, really serious![KeyWait]";"[Quake][Se]M'sieur ! M'sieur ! C'est terrible,
c'est horrible ! Eh ben... Eh ben...[KeyWait]";
"[Quake]そうなんだよ！ タイヘンなんだよ！
[Tag Color  val={D9456DFF} ]モリブリン[Tag Color  val={EDEDEDFF} ]が [Tag Ruby  val={03000600E38280E38289} ]村にやって……[KeyWait]";"[Quake]Yeah, it is! The [Tag Color  val={D9456DFF} ]moblins [Tag Color  val={EDEDEDFF} ]came to the village![KeyWait]";"[Quake]Ouais ! C'est terrible ! Y a des [Tag Color  val={D9456DFF} ]Moblins[Tag Color  val={EDEDEDFF} ],
eh ben, ils sont venus au village...[KeyWait]";
"[Quake]あのね [Tag Color  val={D9456DFF} ]モリブリン[Tag Color  val={EDEDEDFF} ]が
たくさん[Tag Ruby  val={03000600E381AFE38184} ]入ってきたんだ！ そいでね……[KeyWait]";"[Quake]Yeah, that's right! A whole gang of [Tag Color  val={D9456DFF} ]moblins[Tag Color  val={EDEDEDFF} ]![KeyWait]";"[Quake]Y en avait plein, des [Tag Color  val={D9456DFF} ]Moblins[Tag Color  val={EDEDEDFF} ] !
Et pis, et pis...[KeyWait]";
"[Quake]そうなんだよ！ すぐ そこの[Tag Ruby  val={03000600E38184E38188} ]家に
[Tag Ruby  val={03000600E38182E381A4} ]集まってき…… だからね あのね[KeyWait]";"[Quake]Then... It's for real! They all went to the
house...[KeyWait]";"[Quake]Ouais ! Ils sont entrés dans la maison qu'est
juste là... Et pis, eh ben...[KeyWait]";
"[Quake][Tag Color  val={0095EFFF} ]ワンワンのいる[Tag Ruby  val={03000600E38184E38188} ]家[Tag Color  val={EDEDEDFF} ]でね なんか
やっ そうそう そうなんだよ！[KeyWait]";"[Quake]Yeah, that house, and then they did
something at [Tag Color  val={0095EFFF} ]BowWow's house[Tag Color  val={EDEDEDFF} ]![KeyWait]";"[Quake]Ils ont fait un truc dans la [Tag Color  val={0095EFFF} ]maison où il y a
Toutou[Tag Color  val={EDEDEDFF} ] ! Ouais ![KeyWait]";
"[Quake][Tag Color  val={D9456DFF} ]モリブリン[Tag Color  val={EDEDEDFF} ]のやつ なんと あのね
だからね あのね………[KeyWait]";"[Quake]It was a really bad scene, with the
[Tag Color  val={D9456DFF} ]m-m-moblins[Tag Color  val={EDEDEDFF} ]![KeyWait][Tag PageBreak  ]So, I mean, ahh![KeyWait]";"[Quake]Eh ben, les [Tag Color  val={D9456DFF} ]Moblins[Tag Color  val={EDEDEDFF} ], ils ont... ils ont...[KeyWait]";
"[Tag Ruby  val={06000900E38198E381B6E38293} ]自分で たしかめた[Tag Ruby  val={03000600E381BBE38186} ]方が
[Tag Ruby  val={03000600E381AFE38284} ]早そうである[KeyWait]";"It might be faster to find out for yourself
what happened![KeyWait]";"Il vaudrait mieux que vous alliez voir
ce qui s'est passé ![KeyWait]";
"[Quake][Se]あっ！ にいちゃん タイヘン！
タイヘンだよー！ あのねあのね[KeyWait]";"[Quake][Se]Hey, buddy! It's serious! Yeah, really serious![KeyWait]";"[Quake][Se]M'sieur ! M'sieur ! C'est terrible,
c'est horrible ! Eh ben... Eh ben...[KeyWait]";
"[Quake][Tag Color  val={D9456DFF} ]モリブリン[Tag Color  val={EDEDEDFF} ]のやつ なんと あのね
だからね あのね………[KeyWait]";"[Quake]It was a really bad scene, with the
[Tag Color  val={D9456DFF} ]m-m-moblins[Tag Color  val={EDEDEDFF} ]![KeyWait][Tag PageBreak  ]So, I mean, ahh![KeyWait]";"[Quake]Eh ben, les [Tag Color  val={D9456DFF} ]Moblins[Tag Color  val={EDEDEDFF} ], ils ont... ils ont...[KeyWait]";
"[Quake][Se]タイヘンざんす たーいへんざんす！
うちの[Tag Color  val={D9456DFF} ]ワンワン[Tag Color  val={EDEDEDFF} ]が モッ モッ[KeyWait]
[Tag Color  val={D9456DFF} ]モリブリン[Tag Color  val={EDEDEDFF} ]に さらわれたざます！
おお だれか [Tag Color  val={D9456DFF} ]ワンワン[Tag Color  val={EDEDEDFF} ]を[Tag Ruby  val={03000600E3819FE38199} ]助けてー[KeyWait]";"[Quake][Se]AIEEEEEEEE! It's terrrrible! My BowWow was
dognapped by...[Tag Color  val={D9456DFF} ]M-M-MOBLINS[Tag Color  val={EDEDEDFF} ]![KeyWait][Tag PageBreak  ]OHHH! AHHHH! Please! Somebody help
my poor [Tag Color  val={D9456DFF} ]BowWow[Tag Color  val={EDEDEDFF} ]![KeyWait]";"[Quake][Se]Au secours ! Quelle horreur ! [Tag Color  val={D9456DFF} ]Toutou[Tag Color  val={EDEDEDFF} ] a été
chien-nappé par des Mo-mo... des Mo-mo...
des [Tag Color  val={D9456DFF} ]Moblins[Tag Color  val={EDEDEDFF} ] ![KeyWait][Tag PageBreak  ]OOH ! AAH ! Je t'en prie, va secourir
mon [Tag Color  val={D9456DFF} ]Toutou[Tag Color  val={EDEDEDFF} ] ![KeyWait]";
"ヌッ なにヤツ！ あやしいこぞうだ！
みなの[Tag Ruby  val={03000600E38282E381AE} ]者 であえっ！ であえー！[KeyWait]";"Ennh? Who's this suspicious-looking runt?!
OK, boys, let's get ridda him![KeyWait]";"C'est qui ce freluquet ? Les gars,
débarrassez-moi vite de lui ![KeyWait]";
"エエイ！ [Tag Color  val={D9456DFF} ]ワンワン[Tag Color  val={EDEDEDFF} ]を ねらってきたか
さては おぬし ワンワンの[Tag Ruby  val={03000900E38182E3828BE38198} ]主[KeyWait]
マダムニャンニャンの はなった
しかくであろう かえりうちじゃ！[KeyWait]";"You must be an assassin sent by Madam
MeowMeow to rescue the [Tag Color  val={D9456DFF} ]mutt[Tag Color  val={EDEDEDFF} ]![KeyWait][Tag PageBreak  ]You came here to get me, but it is I who
will get you![KeyWait]";"Tu es venu chercher [Tag Color  val={D9456DFF} ]Toutou[Tag Color  val={EDEDEDFF} ] ? Tu dois être
le mercenaire envoyé par Mme Miaou Miaou.[KeyWait][Tag PageBreak  ]Je vais te donner une bonne correction ![KeyWait]";
"[Tag Color  val={D9456DFF} ]ワンワン[Tag Color  val={EDEDEDFF} ]を [Tag Ruby  val={06001200E3818DE38285E38186E38197E38285E381A4} ]救出した！
[Tag Ruby  val={03000600E381A1E3818B} ]近くで[Tag Ruby  val={03000300E381BF} ]見ると やっぱりコワイ[KeyWait]";"You've saved [Tag Color  val={D9456DFF} ]BowWow[Tag Color  val={EDEDEDFF} ]! What a
fearsome beast![KeyWait]";"Vous avez retrouvé [Tag Color  val={D9456DFF} ]Toutou[Tag Color  val={EDEDEDFF} ] ! Il a l'air féroce...[KeyWait]";
"ホッホウ！ ホッホウ！[KeyWait][Tag PageBreak  ]ぶっそうなヤツを つれとるのう[KeyWait][Tag PageBreak  ][Tag Ruby  val={03000600E381A4E3818E} ]次なる セイレーンの[Tag Ruby  val={06000900E3818CE381A3E3818D} ]楽器は
[Tag Color  val={0095EFFF} ]ゴポンガの[Tag Ruby  val={03000600E381ACE381BE} ]沼[Tag Color  val={EDEDEDFF} ]ぢゃぞ[KeyWait]
[Tag Ruby  val={03000600E3828FE38199} ]忘れなさるなよ。
ホッホウ！ ホッホウ！[KeyWait]";"Hoot! That is a fearsome-looking animal
you have there![KeyWait][Tag PageBreak  ]Do not forget, the next [Tag Color  val={D9456DFF} ]instrument[Tag Color  val={EDEDEDFF} ] is in
[Tag Color  val={0095EFFF} ]Goponga Swamp[Tag Color  val={EDEDEDFF} ]![KeyWait]";"Hou ! Ton compagnon a l'air féroce ![KeyWait][Tag PageBreak  ]N'oublie pas, le deuxième instrument
se trouve au [Tag Color  val={0095EFFF} ]marais des Anémones[Tag Color  val={EDEDEDFF} ] ! Hou ![KeyWait]";
"ウヒョヒョ！ [Tag Ruby  val={06000900E38193E38293E381A9} ]今度の [Tag Ruby  val={06000900E38182E38184E381A6} ]相手は
ワシでごじゃるよ！ ウヒョヒョ！[Sync]";"HO HO HO! I'm your bad guy this time!
HO HO HO![Sync]";"NYAHAHA ! Attends un peu que je m'occupe 
de toi ! NYAHA ![Sync]";
"……！ [Tag Ruby  val={03000600E38186E38194} ]動けないでごじゃる！
でも [Tag Ruby  val={09001200E381A0E38184E38198E38287E38186E381B6} ]大丈夫でごじゃる[KeyWait]
そんな [Tag Color  val={D9456DFF} ]なまくらな [Tag Ruby  val={03000600E38191E38293} ]剣では
このツボは こわせない[Tag Color  val={EDEDEDFF} ]でごじゃる[KeyWait]
ここの かべの[Tag Ruby  val={03000600E381BBE38186} ]方が
よっぽど [Tag Ruby  val={03000600E3818BE3819F} ]固いでごじゃる[KeyWait]";"Uh! I can't move! But I am still all right.[KeyWait][Tag PageBreak  ][Tag Color  val={D9456DFF} ]Your little sword won't break this bottle![Tag Color  val={EDEDEDFF} ][KeyWait][Tag PageBreak  ]Even the walls here look tougher than that
dinky thing![KeyWait]";"... ! Je ne peux pas bouger !
Mais ce n'est pas grave.[KeyWait][Tag PageBreak  ]Ta [Tag Color  val={D9456DFF} ]petite épée ne pourra pas briser
cette jarre[Tag Color  val={EDEDEDFF} ] ![KeyWait][Tag PageBreak  ]Même ces murs semblent bien plus solides
que ton cure-dent ![KeyWait]";
"ウヒョヒョヒョッ！ [Tag Color  val={D9456DFF} ]このツボがある[Tag Ruby  val={03000600E3818BE3818E} ]限り
[Tag Ruby  val={09000900E381B5E38198E381BF} ]不死身[Tag Color  val={EDEDEDFF} ]でごじゃるよ！[KeyWait]";"NYAH NYAH! [Tag Color  val={D9456DFF} ]You can't hurt me as long
as I have my bottle[Tag Color  val={EDEDEDFF} ]![KeyWait]";"NYAHAHA ! [Tag Color  val={D9456DFF} ]Tant que j'aurai ma jarre,
je serai invincible[Tag Color  val={EDEDEDFF} ] ![KeyWait]";
"なんてことを するでごじゃるか！
ワシャ もう[Tag Ruby  val={03000600E38286E3828B} ]許さんでごじゃるよ！[KeyWait]";"Waaaah! You—you broke my bottle!
Why, you... You make me hopping mad![KeyWait]";"Quoi ? Tu as osé ? Tu as cassé ma jarre !
Alors là ! Je suis furax !!![KeyWait]";
"[Tag Color  val={D9456DFF} ][Tag Ruby  val={03000300E381BE} ]巻き[Tag Ruby  val={03000600E3818CE38184} ]貝のホルン[Tag Color  val={EDEDEDFF} ]を [Tag Ruby  val={03000300E381BF} ]見つけた！[Sync]";"You got the [Tag Color  val={D9456DFF} ]Conch Horn[Tag Color  val={EDEDEDFF} ]![Sync]";"Vous avez obtenu la [Tag Color  val={D9456DFF} ]Conque de l'Écume[Tag Color  val={EDEDEDFF} ] ![Sync]";
"[FadeIn][Lump][Tag Color  val={A0FFFFFF} ]……[Tag Ruby  val={06000C00E3819DE38186E38192E38293} ]草原……[Tag Ruby  val={06000C00E3819DE38186E38192E38293} ]草原
[Tag Ruby  val={06000C00E3819DE38186E38192E38293} ]草原が [Tag Ruby  val={03000300E381BE} ]待っている……[Tag Color  val={EDEDEDFF} ]";"[FadeIn][Tag Color  val={A0FFFFFF} ][Lump]...PRAIRIE...
...PRAIRIE...";"[FadeIn][Lump][Tag Color  val={A0FFFFFF} ]... Prairie... Prairie... La prairie t'attend.[Tag Color  val={EDEDEDFF} ]";
"……[Tag Ruby  val={06000C00E3819DE38186E38192E38293} ]草原……[Tag Ruby  val={06000C00E3819DE38186E38192E38293} ]草原
[Tag Ruby  val={06000C00E3819DE38186E38192E38293} ]草原が [Tag Ruby  val={03000300E381BE} ]待っている……[KeyWait]";"...PRAIRIE...
...PRAIRIE...[KeyWait][Tag PageBreak  ]The prairie is waiting...[KeyWait]";"... Prairie... Prairie... La prairie t'attend.[KeyWait]";
